transaction_reference_id,debit_credit_indicator,account_id,transaction_amount,transaction_currency,transaction_date
44731f5eb833b9114a374a930a88ae99,CREDIT,27877,4848.19,GBP,2024-09-05
18c0dcdc3601aa7d9ff81aa7c94d3161,DEBIT,24141,5894.22,GBP,2024-09-26
d9ec447261a4c90fb9db79ab9789788e,DEBIT,28971,4174.99,GBP,2023-03-22
2e36880180dd4f9451145b21193d1e06,CREDIT,24229,6279.81,GBP,2024-04-26
ea1068ff664cac6ffbe2510448394900,DEBIT,22429,8908.73,GBP,2023-09-28
9dc647548b2fb6c596cf17ddb0147550,CREDIT,28439,6972.63,GBP,2023-01-28
f96eee3588abd024274313dc1992afee,CREDIT,21779,4246.96,GBP,2023-03-20
0b4a43c927371a024342ebe068fd8ad5,DEBIT,21111,1772.9,GBP,2023-01-23
0457cb91cfcee0eca3472f955ef70461,CREDIT,20023,1774.59,GBP,2024-02-15
06b373ae7e44ca10c0380897be145ff7,CREDIT,21002,7249.38,GBP,2023-12-08
3e40b7baae480018388f30d7d2dd8451,CREDIT,28033,1566.3,GBP,2024-05-15
c636fbe19534ef5e2b678f4deda321b5,DEBIT,28792,7996.65,GBP,2024-07-09
1ef94bbf763b8a91df085e1c34396e47,DEBIT,24492,2096.62,GBP,2024-04-18
24b4c9cdcae154e20a7b84385c39d32e,CREDIT,28959,8905.65,GBP,2024-05-17
b4a64dae056a6144ae8a1c29a1f1be99,DEBIT,23244,8832.37,GBP,2023-02-10
1a291ab96ccafa27e4dd4a13ecb3f682,DEBIT,22133,973.44,GBP,2024-05-27
29e27e7fdc35d992005faab81a2daace,CREDIT,22886,5983.11,GBP,2023-04-29
a9fa5a1bde9d1e75f16268cdd8e54912,DEBIT,21303,2694.19,GBP,2023-09-03
8dcdcc396dce7035e9f705416d5313e3,DEBIT,27066,299.35,GBP,2023-01-13
8a9109129420be58424e251c3b119a77,DEBIT,20858,7712.12,GBP,2023-04-04
2b92f76c473c8150a13a9976d17bb54e,DEBIT,25582,4518.35,GBP,2023-01-26
80e35fb864a4377001c1777310013e4e,DEBIT,27450,1758.49,GBP,2024-09-25
3ad6cfe735b40185d6f17892677b3405,CREDIT,29063,3485.29,GBP,2023-07-11
35b37b4b0a828bed2e94110a88988c98,CREDIT,26463,4494.13,GBP,2023-04-12
f005e2196a80bf61383a3a823ebba5c3,DEBIT,25902,948.96,GBP,2023-10-14
81691d6b73ed2cab8e0c55ba90dd6f68,CREDIT,20665,5596.18,GBP,2024-03-26
4ab7950bef7e7dafb11027197f1f23ed,CREDIT,20999,1633.59,GBP,2024-05-07
fc0669c90c58257239362c2c3ec81cdf,CREDIT,28074,565.15,GBP,2024-07-10
f061d94825a21116b5916767c2c0a6c8,CREDIT,22372,3676.58,GBP,2024-02-27
33779da32c11dceb1d912e5dbe09dd2e,CREDIT,21643,3409.88,GBP,2023-03-25
ae3b215e8adf5388618007992016463e,CREDIT,22739,7127.31,GBP,2024-04-04
9dd5712dbd755f89f2291e5fada4ea71,CREDIT,23159,7044.29,GBP,2024-05-17
66f66fbadcfedfbf9c15a915535b82e1,CREDIT,28890,64.11,GBP,2023-09-01
1c180f5a8f6ea5b8a607b6a8a9a829d9,DEBIT,27970,1885.26,GBP,2024-05-14
d378b67827962f169a0f1a062d08cd58,CREDIT,24298,530.63,GBP,2024-04-12
08441e1f1913633280fa8878bcd93160,CREDIT,29328,610.43,GBP,2023-09-22
51685c5a290ba41f639ac1c8c7810c8b,CREDIT,26424,9308.2,GBP,2023-02-03
1fbb59810135f448ce8c43d4aaac8b3e,DEBIT,23534,7031.32,GBP,2023-01-25
ef7613e9ff35bb3b5a26880646408c89,CREDIT,22061,1448.03,GBP,2023-06-12
d43965e96fc0e2563ec9fdd296e2f9b6,CREDIT,24313,5623.5,GBP,2024-03-27
73206f2f2c2ba4602e541c1adbbe1263,DEBIT,23369,5910.12,GBP,2024-09-11
c3d87aef262577cb2488a47151d3bfdd,DEBIT,22151,9663.81,GBP,2023-12-15
98c7e30417cbb495aa22d886fde34887,DEBIT,20012,6024.98,GBP,2024-10-05
c3106e64f9dd01fd938fb4b7ee844ff2,CREDIT,26025,2126.26,GBP,2024-06-22
d6e32d7f3676f46bc811e038a76af8b2,DEBIT,27548,3304.67,GBP,2023-08-04
20984491c5c6491f6a84717c5bc40736,DEBIT,22641,385.07,GBP,2024-08-23
65d8994635e90a6640d8b0659c5d9eae,CREDIT,26869,7389.29,GBP,2023-06-07
204efb991d7ee598bb904b84fa1d2de1,CREDIT,25945,8595.67,GBP,2023-03-22
38b1a8e45f0bdd3d81c3da116590301c,CREDIT,23618,1677.26,GBP,2023-02-02
baea736c6e18376f166828e6bbcdd649,CREDIT,27931,6924.73,GBP,2023-02-11
47cc4de4abc547554c6ff4a1d9e1f455,CREDIT,26956,8353.28,GBP,2024-01-27
17af8515924ae5e4b891e4883ac9ee28,DEBIT,24712,6144.33,GBP,2024-03-27
290fd262f83bdd44ad497fb0690c1cfd,DEBIT,21904,6684.51,GBP,2023-09-11
ae052ae5f1a24b4ecf8abeb474b87475,CREDIT,26794,7697.99,GBP,2023-11-21
2be552a589ef00d633b4098179d8c07a,DEBIT,26145,1083.16,GBP,2024-01-14
17afb47f789644c1b8689f716d31b8fa,CREDIT,25981,9800.41,GBP,2023-06-15
116c9e46938c242449e09e5804a774b7,DEBIT,21647,9356.06,GBP,2024-03-21
c537436a40e537f03f40394d7b4d207e,DEBIT,20558,1395.33,GBP,2023-11-20
284f4b266890f94d76b36905c0f855a7,CREDIT,26137,8314.08,GBP,2023-10-30
ee3507d65d504d73c92d2118817d9dee,CREDIT,24010,4032.78,GBP,2024-07-29
f4e5460880a4ad8e4fc1654c14bed9ac,CREDIT,28276,4043.53,GBP,2023-08-11
e2a3b6c9f4f5f212d36e9228f968c2b2,CREDIT,29406,3105.63,GBP,2023-01-12
95c3e852063fad1d7d886640539f533a,CREDIT,27562,9133.95,GBP,2022-12-17
6d2d0578988f0213c3dacd236935208e,DEBIT,24825,5949.24,GBP,2024-03-18
f736b1a476bcf7e2efd163199180ed3e,CREDIT,29027,8269.52,GBP,2023-06-07
159a0b7d851e6153850085b7d9294ee5,CREDIT,29262,2266.82,GBP,2023-03-08
cad81e0795ce79d352ff85a11d15fb55,CREDIT,20601,5260.47,GBP,2024-05-12
769cd452a744311093fd0bbd8905f95f,CREDIT,22302,4257.28,GBP,2023-07-29
192da88cac8aac494eba382d907b7bf8,DEBIT,25268,8014.03,GBP,2024-04-13
f3c3a500ea23fcfb111393be5d5557c9,CREDIT,26534,604.21,GBP,2023-08-31
11bfc62a4ffbc7bdfb43c47c83241e44,DEBIT,21206,8605.99,GBP,2024-07-11
4864f78853efd50d7d591f75e1ce77d0,DEBIT,27845,7689.84,GBP,2023-09-13
df0d1855d9c5db8b38639d0535341934,CREDIT,26291,3983.09,GBP,2023-02-19
c9c246b508278c6e8112f30209883857,DEBIT,23161,7411.85,GBP,2023-11-04
13ef1f9fc901c20fae8dadb70c19bd8b,DEBIT,20600,8182.31,GBP,2024-08-20
97ff502d72ea661c047e632a67a3a2f2,CREDIT,29393,8712.6,GBP,2024-11-16
8c1df09b01d278c6b1c3fd3cb0c34af0,CREDIT,20025,8217.81,GBP,2023-01-20
e187e61df0bfe61b830aa1d5b6dc5130,DEBIT,28260,5889.68,GBP,2024-11-26
7024025619ef09bebba35089372e70fe,DEBIT,27168,419.61,GBP,2024-02-22
6ba3345c59fc3d7e616f92ecc41e7840,CREDIT,22822,2078.09,GBP,2024-11-27
89f4de47ce5f846096c0f208740f3ac2,CREDIT,23009,1390.83,GBP,2023-12-05
a683428184ba4924fdcac62bd046f887,CREDIT,23566,813.58,GBP,2024-09-24
14bb6671050ef9d82160d73ebc482b70,CREDIT,26027,2733.18,GBP,2022-12-11
c65274a13bd2297ec3635abcbf99939f,DEBIT,26661,6662.52,GBP,2023-02-28
2ccd2ee570affd0dd43009a62eed11c1,CREDIT,22078,4262.14,GBP,2023-07-26
32458dc8d2f065d6a3eb5cdf2b5173db,DEBIT,21438,5311.4,GBP,2023-06-19
ae15220a33e28de035a94f7da3f3d904,DEBIT,26738,1620.08,GBP,2023-05-05
6eb44e3d744ec42e27d989367c6f2d17,DEBIT,28227,1595.49,GBP,2024-01-04
e77ee34431255b24101b2d2e13b705cc,CREDIT,26970,1000.76,GBP,2024-07-28
77645b5c20f6d27e69fe1961ee8dedce,DEBIT,23576,4598.91,GBP,2023-09-17
806becc53c068b41e3364d6b1681ef5c,CREDIT,23162,931.27,GBP,2024-01-19
fce77fd87cec0808988068b693ef5d40,DEBIT,28256,3633.71,GBP,2023-03-21
2125c7c152c28c3f742238020798a736,CREDIT,23299,1171.26,GBP,2024-01-25
47f4323c8ddac5e2888752ff30c2946e,CREDIT,22821,8723.9,GBP,2024-02-03
cc9e143e64b18b344d28ce22f19bce84,DEBIT,20019,2413.89,GBP,2023-05-06
7846693fe3e2752a7c92571e447463b6,CREDIT,27315,5485.82,GBP,2023-05-16
fd87072cdd564e6fbcaa2ccc3ec0e136,CREDIT,21462,4483.17,GBP,2024-07-13
0b866e2808be8d8f633e5db527262050,DEBIT,29164,6397.44,GBP,2024-04-13
96a3a2ffe3bfaefcb5195fa3e5b2d1f3,CREDIT,27931,4562.5,GBP,2024-01-28
c7989a44d8f2aa0edb858aa071cb8785,DEBIT,29124,1311.58,GBP,2023-09-02
9e5b6ff48dfb429de00b2ae906a9db46,DEBIT,24592,8617.44,GBP,2024-08-16
ff158db13d8f6bc68bcd82e9fc3f0155,CREDIT,25806,1093.97,GBP,2023-02-28
2d1687e6b3ecabbea67ad55b9ffe1927,DEBIT,28246,9566.63,GBP,2023-09-25
dd9fc77a3b36cd02346f8a050412f694,DEBIT,21202,4156.27,GBP,2023-06-27
83fbc460a28ea1e35f8a998703e659b0,CREDIT,27657,284.79,GBP,2023-09-07
abb2072e566e35af38cddb358d2d345a,DEBIT,29996,4423.2,GBP,2022-12-24
0da291d9957db5d5c239f8324d8e4935,CREDIT,20905,8921.44,GBP,2023-10-03
817be934ef07c0e3a48d3797b73481a6,CREDIT,21563,1808.47,GBP,2023-10-07
50b38a7e33e4fbf023de0db5ec2418d5,CREDIT,23632,8656.37,GBP,2024-08-13
7b7a2e849f09a1b22fe385fb544d7ea0,DEBIT,29159,7886.65,GBP,2024-06-12
aaa2c59d239a110d1323252ca0ad990b,DEBIT,25489,4148.02,GBP,2023-01-01
43b5c77b6c33ff08a4eb86046006dcc9,CREDIT,22058,7564.49,GBP,2024-01-12
4ffbf0a635ee8d02c55c95a9e95cc1a8,CREDIT,29626,1414.84,GBP,2023-01-01
6bb133fca425beb9af674f2aef42b8b1,CREDIT,22079,1022.1,GBP,2024-11-27
6f8eb5dd31e7cfa0605fffb1eb5b2382,DEBIT,23841,5640.95,GBP,2024-02-24
07f3fa47cad067d67d31a33ad5156372,CREDIT,26686,7716.66,GBP,2024-04-19
1ca5415cc37a847e868b4003e06e5915,CREDIT,24326,8455.63,GBP,2023-10-07
f790b06c5d09458dc3bde1f55b140d68,DEBIT,22522,3752.26,GBP,2024-07-24
261a7123a9e533e591f1664fa2f2ec18,CREDIT,25880,4572.51,GBP,2024-02-10
16c66621b3dd039a3eedc789259b88d1,CREDIT,21281,7823.34,GBP,2023-05-05
44731f5eb833b9114a374a930a88ae99,DEBIT,23982,4848.19,GBP,2024-09-05
4f54d657ffe99b6af99e354e7b352462,CREDIT,24838,6857.85,GBP,2023-01-24
7de1aa9c9778db074ed0b86d0246eb4f,CREDIT,28408,1184.98,GBP,2023-01-06
356f60d0111797bd8d4f99dfc2354b79,DEBIT,21300,8425.51,GBP,2024-03-30
ee5f064f2e10e6c74a0e793acf4e97e4,CREDIT,24323,2627.47,GBP,2023-12-15
c9bc2d3b0621e46c52a6547cd091b2d6,DEBIT,25056,3405.42,GBP,2023-09-02
2da1b0ebc42c7325a55947919f9cc944,CREDIT,29616,2251.29,GBP,2023-04-04
adcd811f46140f4a4af4097d448997f5,DEBIT,23970,5805.66,GBP,2024-08-25
fed06f264f5b4446927dc483a034c0fa,CREDIT,29152,3719.06,GBP,2023-04-25
7e9f43a90284f5a20ed7b745198fe421,DEBIT,20790,9514.31,GBP,2023-04-14
35e61174cb3b8db30ab68b8bb1ec203e,DEBIT,24628,138.15,GBP,2023-09-15
53b71cd3250b2b26ccbfca00a796004c,CREDIT,23434,7693.75,GBP,2024-11-04
b73ca8dc365ed1f0bd63860ab5e6e3a2,DEBIT,24999,792.09,GBP,2024-09-28
514edd9782bc4d15a8d9a2f29f2e9ac1,CREDIT,20416,1321.43,GBP,2023-09-27
4eac80d07be2403a42847ab30ec0147b,CREDIT,25077,2222.91,GBP,2023-02-27
439ad3ddf77edc9c758bb64a92ece105,CREDIT,20772,1042.95,GBP,2023-12-09
fc92f5256a23e3b189ade9f1a8447949,CREDIT,22985,299.0,GBP,2024-03-24
b1ba3782520dcfbaabf7964c8724f34b,DEBIT,23768,1373.44,GBP,2024-09-17
ca99c05ddb141f11598f2167f54f6702,CREDIT,20463,623.49,GBP,2023-10-22
24ae29170afb73e17d13cafc678af1f4,DEBIT,25421,8543.24,GBP,2023-08-11
927dd9f49e7b9fe7dda78b469e1953e9,DEBIT,25373,8809.81,GBP,2023-06-13
a5702e2f6aa4504c3077d312feba4690,DEBIT,23987,6543.88,GBP,2024-08-31
fdd3f237ea3eeb76334d639d2f252abb,DEBIT,26714,7537.12,GBP,2024-11-19
66dc6c15b54b3a17e7379549e21deff3,CREDIT,22652,4409.82,GBP,2024-04-09
61c18d53648aecd4b93ad38ab73a24c9,DEBIT,28679,2630.94,GBP,2023-07-23
4806639a8fb995fc76b66ecedd6c8e7a,CREDIT,28309,5313.88,GBP,2023-07-13
edbf3e32a6b9baeec9ee0b0634900e90,CREDIT,28028,2604.49,GBP,2024-04-23
d623fe58fd7b8de8f4e74fbd726bd237,CREDIT,25982,4788.55,GBP,2023-10-13
3f33885a17bc1a3e81c48e091adf70a1,CREDIT,28763,1843.06,GBP,2024-01-11
01402859febf9b65fa364bec41ac531a,CREDIT,27808,1610.91,GBP,2023-11-12
0d6dd59d5ae617e3597504eea34a4180,DEBIT,27375,7710.32,GBP,2023-06-15
f8c4b027c12802a4cfd1cf3c3c1539db,DEBIT,24165,468.27,GBP,2024-07-11
82b13e68d96936507c647db59459a346,CREDIT,25048,4006.06,GBP,2024-06-05
3eab427ee86e2a0721f0e956fe58c585,CREDIT,29724,5233.62,GBP,2024-09-26
395dd3488ee78574e2a997d2d02619fe,CREDIT,28615,7869.56,GBP,2023-05-24
7e850f23a206ff26ea1dcea24adcc3c3,DEBIT,24208,6225.57,GBP,2023-10-26
92603cb7e7ae152d87f225844e837ebd,DEBIT,29302,2515.65,GBP,2023-08-10
2a4f17cac842fd9c16d061bf5739e213,CREDIT,20735,3269.05,GBP,2023-02-06
637ecdaa6a8d97224745264e4d23fb46,CREDIT,25918,4020.56,GBP,2024-05-21
71fd15e0efffc479d9ca5b65a37f40bc,DEBIT,20079,3035.37,GBP,2024-11-17
c5ad3c5a8fd10b7bc10efc786a173527,CREDIT,20304,8086.66,GBP,2022-12-06
c85ca484ea3325f00ee2e310dd788250,DEBIT,29133,531.84,GBP,2023-01-07
d7f966387f86a3098de118dc95224fc2,CREDIT,20325,421.38,GBP,2024-11-16
5c4e356b845d6f54230f7f404ab6ab99,DEBIT,22238,1017.66,GBP,2023-11-13
6a586ed9c3fbdaf9a4589b451303e3e4,DEBIT,28487,5329.31,GBP,2023-01-04
bc91371abb6b3d277a43991711d43ddf,CREDIT,20528,5195.05,GBP,2023-08-23
c4ced61595e783361a0b15d0e24455c8,DEBIT,27393,4507.73,GBP,2023-03-08
36a4d466f44d7471ac545d5e13c3560e,DEBIT,24574,4841.98,GBP,2023-09-18
06315d85df429c42454a80abe0ee9763,CREDIT,29832,8842.56,GBP,2023-10-18
2f210698d00b193b20e0892b66b45a1e,CREDIT,27597,2957.58,GBP,2023-03-27
ac40875ba448e99ed606ae2eca9f8f7b,DEBIT,29505,9186.06,GBP,2023-03-21
cbe1b2308f21ac7b0814f49986fddabd,DEBIT,22448,1671.91,GBP,2023-05-20
f9b28b4897cc1d3b2ed4df98fcdc9cab,DEBIT,29889,4832.86,GBP,2024-01-22
3f4889fdf7af53c245833ab713425e6a,CREDIT,28056,6288.75,GBP,2024-01-17
074f9a0612a2804925fe024e8256f213,CREDIT,24526,9993.18,GBP,2024-05-19
a8e95f80c27a8bf67aca21acd3409da9,DEBIT,26051,7743.24,GBP,2023-01-03
b5d83dd1041a8699797e231444cc2418,CREDIT,24093,6420.72,GBP,2023-07-29
f8188c92b9ea92fee7d7d27230140b6d,CREDIT,21972,6609.78,GBP,2024-03-22
ae5bf8ad908d055f7a0a8ed8f3eeef24,CREDIT,28144,5957.33,GBP,2024-05-27
1c40a358c276bbb3feb5faf3f8a651da,CREDIT,22281,2257.86,GBP,2023-09-14
5aec9f46873ef6f5c1072c94a1fe917b,DEBIT,24732,2947.66,GBP,2023-01-08
75ab8db1f11c08d7254187e249219fda,DEBIT,27109,7727.11,GBP,2023-05-08
b7b5996064e4b39d00c22f6c165afff4,DEBIT,28712,938.74,GBP,2023-10-28
e9fe16f7bb2f753e4d8ff75d24e0615f,CREDIT,23274,1170.03,GBP,2024-01-23
13eceb5bf50c75c71ac864306ea769fa,CREDIT,29549,8687.75,GBP,2023-04-04
623da56ff7a6a4f91db6d062c27c0afb,DEBIT,24989,6244.8,GBP,2024-08-21
60fe9668bd7db099f6a76f9952ea028f,CREDIT,27359,1545.22,GBP,2023-10-25
bd3993786d7c26224700be517c37d777,DEBIT,24380,4320.13,GBP,2024-10-05
1bbd2e9987ba32f149b407f49f27e5cf,DEBIT,28646,9868.77,GBP,2023-01-16
b060ca3b33cd781137fc2b9500885b90,DEBIT,24668,2380.03,GBP,2023-01-23
82f63fb07c293b7fe89cd4753e9eae02,DEBIT,27012,690.82,GBP,2024-02-07
79e6783489808fa2184fecb680ef7041,DEBIT,26745,6484.89,GBP,2024-01-08
37d1e48beaa81dfbdf8318b09bf2a45e,CREDIT,26058,1203.41,GBP,2023-01-11
c620eb517ea3eada2f2922259fd331c1,DEBIT,20213,1510.7,GBP,2024-06-24
de6eee57adec63f02abc0a03174e199a,DEBIT,27865,4894.93,GBP,2024-01-31
2deadb4f89fa274e256aaf3218710c1f,DEBIT,25214,9533.7,GBP,2023-03-26
f0e4b457b2110e5f75077fb71ab24e75,DEBIT,23149,3103.23,GBP,2023-12-31
9cbefae9d7b9abe0a2e94b877a2487bd,CREDIT,25318,4663.58,GBP,2023-02-26
3e0f62c47d53e227f41364a95dc59cf1,DEBIT,29804,5113.66,GBP,2024-06-22
12fc136201b873453dfd45ecc24dcb57,CREDIT,21630,1572.78,GBP,2024-09-22
1b0d193188a4df6d8b8a923df8469e60,CREDIT,27032,7521.12,GBP,2023-09-04
f1556a90d32d9855a3d461b7f3e2816f,CREDIT,20880,2035.8,GBP,2024-07-12
b9afdd7d40824686389574f222efe6ea,DEBIT,20089,1539.5,GBP,2023-10-19
b27f0a0824ad36963ee7f2c885354040,CREDIT,27774,3525.78,GBP,2023-03-19
91705e63e54eb61aa8a6a653020bb0fe,DEBIT,26677,250.14,GBP,2024-11-13
5ff033b8fd593a1d665d47599092037e,CREDIT,21430,3797.02,GBP,2024-07-26
0ea2584fbf22684f1c75f33ec2aa3e8f,CREDIT,28510,6568.87,GBP,2024-08-31
98eacdc5dc1f8c6a457dfabfdf5d6ce2,CREDIT,22310,3353.62,GBP,2023-03-28
82b906831e3d5b40f30f431c03c53b36,DEBIT,21029,4151.7,GBP,2023-07-01
8d43ba2344b1ace17763f6a13924568c,DEBIT,28271,7293.01,GBP,2023-10-05
1bd725876ee5f6546e60e0cc629afe3b,DEBIT,22448,2806.26,GBP,2023-06-09
f5152ffc4a6ebf183f45cd3e30e85a63,DEBIT,28387,6805.1,GBP,2023-03-11
bd5a79ea30c05ff19cdb3bccd68f3d19,DEBIT,22305,633.15,GBP,2024-11-18
e7acc758316cb8cbac1422bf23ae23c3,CREDIT,25841,7286.1,GBP,2022-12-02
161961bf55e161b2a2ce947471a14650,CREDIT,25790,4813.61,GBP,2023-07-16
d21fb118f3a7bfc6e9da10f76ae7b84b,CREDIT,25379,966.62,GBP,2024-04-08
de5ad1c323f683709d3a131fe0690d3f,DEBIT,28705,767.85,GBP,2023-07-26
eb332f8f15e4769b8f1ee80b5bc39ab0,DEBIT,25287,6607.37,GBP,2024-11-05
8627f17cad660995d9085accade79d19,CREDIT,28277,6651.41,GBP,2024-04-25
9ca93d8bcae42bbccfd9cc3d226958ac,DEBIT,22800,3425.73,GBP,2023-11-06
af8ececd6adcc14a86f8459ea565016e,CREDIT,27309,1308.75,GBP,2023-12-10
e028ab4e7e36fac23ad9d3abe4aabd7e,CREDIT,21370,7321.1,GBP,2024-04-16
6862ff720679812d65264e6188b6b1f0,DEBIT,22494,1277.47,GBP,2024-05-14
b346cc2c9b6e8f6b44d57990a5b3d942,DEBIT,20017,5909.84,GBP,2024-08-01
8f9feedfe08fbc01c746fb0a6a8d07fb,CREDIT,27752,624.7,GBP,2023-01-03
fb07c0065a18c06284c847755bc6605b,CREDIT,22328,9977.72,GBP,2023-09-09
4b505f5d44fe720ff8d63c096fabbdd5,CREDIT,28806,7211.37,GBP,2023-10-30
06354ef878a1bbfc563424ee8e48a851,DEBIT,24120,1957.51,GBP,2024-01-30
bed68d51ce0c2d89d8784f7b97d3ba21,DEBIT,29783,813.78,GBP,2023-02-08
40bcce67c67ee3bfa0396614f822d4b8,CREDIT,25668,5392.13,GBP,2023-11-29
3a025f7b9e42f209501a5694b1e84c37,CREDIT,29688,2944.33,GBP,2024-01-23
6bf65aab93c00b5ee6389665f92ebf15,CREDIT,22270,2957.96,GBP,2024-07-11
5d5c4beef670e3da0e7d82f808970a4a,DEBIT,20492,5182.91,GBP,2023-04-19
7c709b2f0e25ab1182525f6b6ba56482,CREDIT,28676,6442.89,GBP,2023-01-14
e20a01290e7e731c77301e5b86e5722d,CREDIT,23497,152.41,GBP,2023-06-29
6443e7ffc536f6c77fc1c5a315b742ad,DEBIT,21159,3510.2,GBP,2023-11-24
b5cea3d548f419615d0a05ec2b9b5450,DEBIT,28633,626.84,GBP,2024-06-10
216ca1e1bb6250aae6248eed2da31fc4,DEBIT,28573,7621.91,GBP,2024-07-26
7ec2fa792814cf1868dec0a12ead5819,CREDIT,28937,4092.78,GBP,2023-02-04
6435c5b832282d60c92d4c8282d06e6b,CREDIT,28254,3952.6,GBP,2023-03-24
70eb6c9568e0ae8609b5172a2d083129,CREDIT,28780,9805.11,GBP,2024-04-05
c4ab53b9f69b75dee184b9b4072a4bd1,CREDIT,22403,1062.14,GBP,2024-03-22
ffedd8a7b42e274c48ba6eb17144fd8a,DEBIT,28156,901.91,GBP,2024-03-27
8f6caea0a018a92ee98e77c79f3da0a1,DEBIT,20375,6528.61,GBP,2024-01-13
