transaction_reference_id,party_role,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_postal_code,parsed_address_city,party_iban,party_phone,external_id,account_id,transaction_date,provi_id
9175,1,5442,5262,2512,978,2934,4931,6031,25016357,24298,501,9175
3587,0,6084,7012,1279,1158,4846,4266,5012,25006634,28697,699,group_56
8421,1,2895,1626,4252,5358,5498,4931,6031,10312060,23421,607,8421
5229,0,3220,4675,2624,5358,3226,2636,5418,25024786,27654,86,group_58
10698,0,859,2998,727,5358,1444,3226,682,90002615,23365,195,10698
9671,0,1642,7277,4229,5358,4396,4931,1068,35020119,25130,296,9671
5645,0,2923,6761,3643,3070,1986,3215,6031,35004268,24829,276,5645
4247,1,3651,6099,4827,453,6388,2304,2267,35030689,26146,100,4247
4542,1,2397,428,4631,201,1957,4931,3684,20007982,27150,226,group_63
6932,1,4351,7473,36,1589,5913,146,5413,10479419,24745,101,6932
2649,1,2183,3780,559,1205,4302,4931,6031,35010738,26094,129,group_65
491,0,6532,2126,1187,3914,2628,2838,3190,20022797,21068,426,group_66
3641,0,5406,4866,4827,5358,2987,3639,6031,10360379,28333,37,group_67
8354,0,5135,4276,2565,3731,4942,4931,6031,40018260,26690,239,8354
9278,1,6528,2889,3829,3507,3126,4931,6031,35017388,20526,314,9278
1093,0,725,2585,2006,5358,2916,4216,6031,40010026,24512,202,group_70
5311,0,5050,1020,4827,1349,6388,4931,1621,10114198,27817,245,5311
5133,0,3882,702,2612,5358,3572,3419,6026,80029764,22709,14,group_72
3820,1,4207,1975,1723,5358,4431,300,6031,25041569,29770,509,3820
9845,1,549,7167,647,3738,563,4661,820,25003154,29833,491,group_74
4124,1,307,2825,2345,5210,3468,4931,6031,60024126,21502,470,group_75
10835,0,1743,2228,1406,2602,6388,625,2319,35025398,20997,72,group_76
4153,0,2641,6848,4827,5358,3980,3726,3037,10362538,29398,67,group_77
3153,0,668,3173,3968,3155,6388,2484,6031,40008792,29806,653,group_78
5673,1,1477,1559,4476,5358,1433,4931,6031,10203996,21993,344,5673
6749,0,1924,1467,3967,2286,3674,4545,6031,30017414,20580,251,group_80
10919,1,4551,521,3575,501,2166,2879,16,50039155,29343,569,10919
3961,1,4675,4073,1896,5358,5291,480,5538,25010989,20991,638,group_82
9840,0,5867,1925,2753,1193,1989,4931,6031,25016323,22236,595,9840
7135,0,6530,805,584,5160,5833,4931,6031,35029950,29064,492,group_84
2242,0,5781,5632,2660,2515,31,1983,1811,20022808,24517,676,2242
3508,0,6153,7348,3977,4759,1803,3313,3442,35010113,24489,347,3508
3023,1,3463,7473,4827,1118,4461,421,4750,25011591,23105,227,group_87
4950,1,4754,2749,4827,5358,6388,3331,821,25040953,21334,487,4950
416,0,1760,3042,2577,2510,3149,4931,6031,25013107,29194,74,group_89
3345,0,69,2752,1969,318,535,3553,6031,25014306,22360,102,group_90
7047,0,3127,2642,2072,5358,1321,2091,6031,35009000,27173,99,7047
4281,0,4856,3368,4002,3102,4724,3386,6031,10307233,21018,500,group_92
10092,0,5972,1000,4827,3232,6388,4931,4409,10534269,21026,40,group_93
3061,0,764,628,941,5358,5009,4658,6031,35017463,21336,519,3061
3675,0,5377,3977,2918,3857,1478,1547,2443,35003770,22529,348,3675
9576,1,5925,6373,4827,5358,597,3140,6031,10301798,28270,224,group_96
10274,0,3080,7473,4827,4756,3152,484,6031,25029825,24368,656,10274
9047,1,1485,6174,2943,3725,2808,4931,2927,10415506,26071,245,9047
9421,1,111,5756,700,5358,4162,2490,6031,25015969,22218,164,group_99
5114,0,5323,6665,3837,5358,1285,1049,4472,25014012,24397,0,group_100
6431,0,1833,2708,4827,1619,6388,4931,6031,35011077,25388,416,6431
212,0,4658,6393,4827,5193,6388,3851,6031,70049955,29210,618,212
8151,1,473,5680,1259,5358,5195,392,6031,30004781,25539,571,8151
1959,1,4167,1648,460,5358,1964,4931,4217,10063334,25290,272,1959
2701,0,1723,2691,1691,1045,1350,2503,6031,50040693,25212,421,group_105
6981,1,3079,6878,3351,3810,1373,4849,1716,50067387,22179,40,group_106
9923,1,5686,1642,4827,1381,2820,4931,4889,35022129,20136,449,9923
5061,1,5027,3358,2923,2071,278,986,6031,20008257,29166,189,5061
1658,0,5686,3430,3475,5358,6084,1352,6031,35022129,23749,565,group_109
6358,0,5144,2551,4827,5358,2849,4788,6031,40024438,27697,466,6358
9427,1,4023,7020,4827,3385,1621,3977,6031,70021334,23456,404,9427
10162,1,1343,2307,735,1258,6159,1012,6031,40013835,26632,282,group_112
3206,0,6025,396,4827,2686,2981,3168,6031,10436350,21490,722,3206
8405,1,2733,7325,4827,5358,6388,2657,404,25003398,27190,150,group_114
5302,1,2547,4992,2548,638,4904,4931,4683,50045502,21133,401,5302
5083,1,4464,5940,4827,5358,3230,332,6031,25023088,27552,484,group_116
10033,1,4624,4872,2741,1908,6388,1650,5237,35026240,26970,608,10033
1044,0,2344,6968,555,4831,5376,4931,3284,35019591,27928,187,group_118
5651,0,3904,6508,4827,1230,4170,4931,6031,60028991,21021,301,5651
4396,0,6372,6838,4827,2414,6011,4773,6031,25027260,28294,476,4396
9872,1,6266,7098,4827,5358,6388,4931,649,25003398,25681,146,group_121
10257,1,3438,5694,4731,4681,260,3694,6031,35006041,27230,373,group_122
329,0,1961,6649,2242,1925,4020,4931,368,35012656,21372,561,group_123
9300,1,2271,5060,1433,1189,5333,3174,1832,10092602,22322,481,9300
10830,0,6044,4882,1228,4670,4912,4931,6031,35010506,23413,243,10830
5538,0,5936,1494,2623,1842,1869,4931,6031,25027998,27065,445,group_126
1020,0,5777,2607,2790,1471,4187,1903,1282,25015937,29369,32,group_127
4997,1,5595,1952,117,5358,5615,50,1228,35021516,23850,375,group_128
1850,1,3294,4306,142,359,1601,4931,6031,40005524,26455,45,1850
8162,0,5621,5513,1633,1092,4730,550,4935,70037268,26347,245,group_130
6198,1,4191,1837,3823,44,6388,1581,6031,10339171,28847,386,6198
10903,1,2064,1355,2145,879,5534,4931,6031,25017321,22985,482,10903
115,0,3224,1154,4735,3615,2137,2185,4186,35024158,24914,96,115
8217,0,537,7272,3496,4074,2843,4787,5402,35023885,26753,310,8217
7587,1,380,2065,461,5358,5703,3721,6031,35021293,25277,410,7587
2920,1,724,2584,4007,5358,6388,4931,6031,40010026,24512,492,group_70
9024,0,1540,7134,1521,5358,6388,1913,502,10344658,25638,650,9024
9849,1,3456,7202,793,5297,5721,4091,6031,25040146,23390,701,group_137
10182,1,1886,6253,4827,934,4369,1952,4202,40005619,29672,302,10182
2954,0,1675,6862,2556,2358,1177,2957,6031,25018722,26388,35,2954
10631,1,2240,3538,4827,5358,5598,4931,1349,30019088,27398,99,group_140
5320,0,6135,6846,3034,4914,643,4931,6031,35031495,26619,40,5320
4301,1,3470,7473,4827,2222,1423,4931,4588,20011444,20218,541,group_142
3841,0,402,6027,686,5358,6388,2411,6031,40013389,20937,66,group_143
4721,0,3069,2985,4827,2715,843,4931,6031,25015256,22003,601,group_144
8503,0,482,4113,2016,5358,6388,344,6031,10536170,27641,137,8503
1450,0,4728,5604,4600,3986,1694,2544,6031,25002116,24558,506,1450
9329,0,835,1558,1987,4970,3296,3674,6031,35011596,24591,344,group_147
5356,1,5946,1647,1301,513,6388,4931,3570,30019915,25632,57,5356
2670,0,1714,7473,4827,5358,3126,1350,6031,25006734,22126,603,group_149
2710,0,5906,3721,2838,1221,5617,4413,6031,25024687,25465,378,2710
8053,0,2373,5728,4827,5358,3009,4931,6031,90005465,26971,78,8053
4927,1,1158,5010,3079,876,50,3719,6031,40014614,25917,315,4927
1812,1,4846,3756,2756,5358,3464,1470,6031,25012782,24494,490,1812
9273,1,792,2697,3904,5358,3287,4873,5321,35016319,26934,540,group_154
3177,0,3391,2482,2205,5358,4441,2844,6031,35016820,23132,539,3177
3201,0,2385,210,737,1017,1999,1540,6031,25021900,23489,553,group_156
4333,0,6087,2174,3216,3377,6388,2023,1467,30024389,24944,160,group_157
9284,0,2708,4168,597,414,6057,4016,6031,10163633,25462,282,group_158
2460,1,2282,1163,4827,1906,1824,1272,1741,25017390,21311,77,2460
6709,1,6044,5038,200,1014,3002,228,767,35010506,21003,289,group_160
2808,0,3768,4565,4456,1732,2226,1205,1032,70054122,26189,311,2808
7471,0,2022,4138,1873,1166,629,2136,1875,10122105,29374,483,group_162
5831,0,3480,5791,4827,3112,3438,4931,2652,35024043,26980,14,group_163
540,1,4107,1833,2721,5358,2090,2013,771,70042919,20709,465,540
6634,0,6461,1450,2844,2484,731,4252,6031,35022474,20906,472,6634
5426,0,2542,852,4827,5358,551,2004,6031,10561639,27815,470,group_166
9172,1,1196,3233,4827,1982,4907,4931,707,25039353,29206,170,9172
9958,0,1760,3041,2577,2509,1379,2230,2472,25013107,22634,484,9958
862,1,4969,5469,4827,4245,5302,4931,6031,10230093,22933,230,group_169
43,0,6523,2333,778,2374,2434,1112,6031,25024990,22285,625,group_170
3248,0,4328,4303,2714,4202,1388,1771,3434,30009923,28996,300,group_171
3188,0,1832,1247,929,5358,6077,4931,5562,25018863,27820,274,group_172
5369,1,2203,1779,4827,1504,1576,3465,401,40010697,23793,500,5369
2332,1,3237,1736,3248,5358,633,3892,6031,30022292,26621,211,2332
9820,0,867,1448,1579,5358,6388,1525,6031,20009289,29474,659,group_175
9832,1,3227,6363,4827,5358,6388,4931,5424,25041300,23350,435,group_176
130,1,6135,1951,3717,5358,2988,4754,648,35031495,20727,559,130
2450,1,5001,1474,620,2612,1545,4931,6031,10222639,22857,400,group_178
5433,1,2340,7332,1253,475,6330,3250,334,35014593,22651,212,5433
4783,1,3562,562,1704,5358,1471,4931,3541,35010920,23557,718,group_180
4902,0,4479,4815,2471,5358,531,3704,679,35008863,28909,69,group_181
10022,1,4201,298,4827,5358,2664,4931,5115,25011870,29019,338,group_182
4549,1,2118,2632,2400,1007,6388,168,844,35009402,25515,47,group_183
2131,1,5821,3892,3190,5358,62,3030,6031,25000999,28657,19,2131
10784,0,5544,4843,138,3738,4147,4931,122,35014998,29479,562,group_185
7636,1,4835,3787,4311,5241,4770,4931,6031,25019602,21112,251,group_186
10937,1,6074,1035,4201,974,1277,4931,6031,35010837,28978,656,group_187
3163,0,694,259,3299,1920,3075,3138,1268,40018353,28387,99,group_188
8510,1,6316,604,4827,3365,5254,4705,3207,90017740,28520,237,group_189
4764,1,5851,3481,1052,1059,382,964,6031,35016351,20859,103,group_190
9669,1,3739,2080,3164,5358,3376,4224,2292,35029390,26593,289,group_191
5920,0,5099,6614,4482,5358,2102,4931,4855,35029130,23586,257,group_192
8537,0,4299,5207,1847,3247,901,2774,6031,80008125,21731,149,8537
9221,0,2405,3988,4827,5358,5266,2525,4610,25030124,29147,661,9221
10267,1,1269,7473,4827,5358,4873,72,6031,25033941,27538,273,group_195
1127,0,4011,3494,2768,2473,874,4391,6031,35028175,27257,474,group_196
6441,0,6404,5103,4827,5358,2417,4931,2962,40008664,26880,305,6441
9406,0,3222,5067,1083,3658,2729,3038,6031,25025925,22422,436,group_198
7276,0,6034,5349,540,779,1254,755,1718,35021934,25039,553,group_199
8517,1,665,164,1624,3191,813,3538,6031,40004063,26813,302,8517
4072,0,4083,1777,1265,624,4633,792,2237,10596672,28788,296,4072
3080,0,4188,1586,3292,2051,5833,2,6031,35012867,29765,420,group_202
5743,1,362,482,4827,3895,4369,2196,6031,35000772,23236,482,5743
4136,1,5317,2317,1896,2917,1410,2804,4432,90013845,20081,126,4136
2758,1,1880,4529,4460,1553,5784,2613,6031,35026875,28364,120,group_205
7847,1,2151,6553,3431,4266,153,2298,118,90020630,21500,461,group_206
444,1,5479,276,4827,5358,5690,4931,6031,20014398,21870,281,group_207
1306,0,930,4396,4827,803,5071,1702,6031,90001898,27113,335,group_208
2102,0,5616,7473,4827,4968,3787,4752,1509,25037223,23815,276,group_209
324,1,1888,5361,2895,1435,4472,3951,6031,80055768,25314,532,group_210
6756,0,2056,4215,4827,1848,211,4931,6031,25021643,25860,460,group_211
995,1,4619,1385,1311,2094,4895,4358,4930,35009329,25581,148,995
972,1,1413,1118,2053,2886,2066,680,866,25023592,22089,382,group_213
3548,0,180,814,4113,582,714,4931,6031,25039393,28584,93,3548
2631,1,2860,4696,3382,3051,5016,3685,6031,10349077,24750,389,2631
2427,1,355,2659,4753,432,1679,474,5171,10071570,21926,424,2427
8072,1,3580,1339,2383,5358,470,3691,5177,10559034,22234,153,8072
3986,0,3211,2188,2427,2409,3566,3132,940,10263004,27240,35,3986
967,0,4700,2173,4827,5358,4502,4231,6031,25038244,29763,359,967
2372,1,5687,5248,3663,5358,822,4931,6031,35003767,21057,52,2372
4801,1,1753,4900,2147,2973,3454,4931,921,40004864,25082,13,group_221
9194,1,5863,7473,4827,1764,5736,4931,3904,25008072,21001,363,group_222
11045,0,5195,6201,3469,3948,1272,2594,2897,35030268,21990,98,group_223
5399,0,1867,5200,3104,5358,5384,4842,4014,35019710,21182,546,5399
7233,1,3937,7473,4827,4393,6388,1337,6031,25038848,29111,179,group_225
9792,1,3888,3486,1375,4256,4493,840,6031,20020456,23497,213,9792
613,1,6053,7267,4668,1556,3486,377,4814,35024466,22658,499,group_227
9281,0,3306,6315,2914,1294,1069,4903,5888,35004878,20612,704,9281
4725,0,548,1795,300,5358,2277,3556,6031,25002719,24776,653,4725
6161,0,6193,2738,3858,2918,4374,4931,3898,10305924,24265,479,6161
5788,0,6055,4943,2908,5358,5792,896,205,80035431,23310,551,5788
4900,1,6544,342,3389,2963,3370,3715,6031,25013102,26832,276,group_232
10427,1,9,3747,1947,3446,2460,4931,6031,35028815,25469,274,group_233
7915,0,4095,1054,2524,3710,6388,724,6031,10051744,26711,431,group_234
3516,0,3748,4250,761,4110,1393,4931,6031,30012912,24189,684,3516
3907,0,2413,6929,4119,3103,3717,713,4679,25021794,26673,277,group_236
4119,0,2763,4514,1709,738,1741,4931,6031,35027902,26664,538,group_237
2537,1,1853,1901,4827,3758,3780,1317,2240,25008855,24658,336,2537
10629,0,2212,2943,4827,462,1638,4931,1797,30005540,29224,450,group_239
10211,0,2016,602,3073,2402,2738,4931,6031,10215316,28150,164,group_240
6219,1,6044,4880,3095,1323,6303,4931,6031,35010506,20074,195,6219
3250,1,5153,3840,139,1745,2922,1355,6031,25039342,22076,164,group_242
4825,0,4714,4920,4827,1055,6388,454,4066,10021234,20086,406,4825
4013,0,1928,1272,1576,662,340,4931,2061,25040449,26513,15,group_244
2956,1,407,1256,1742,5358,3475,4245,6031,10329184,23248,656,2956
52,1,1614,1826,1127,1718,887,4931,90,25028720,26968,681,52
5758,0,4530,4746,4827,1429,4215,4708,6031,60051899,25493,240,group_247
6623,0,5838,1195,3942,3630,1009,4149,1904,25001816,20547,562,group_248
9388,0,1193,2395,1135,5358,6388,4854,6031,10091178,25598,638,group_249
3063,1,1659,6858,2452,5358,3423,1826,6031,25012819,22715,559,3063
6764,0,562,1834,4827,4838,4923,4931,6012,10234181,20131,270,group_251
8676,1,5675,6468,4827,5358,5621,4931,2321,35005664,27697,530,8676
10470,0,1816,4367,1509,5358,1551,123,5965,35000165,27889,654,group_253
1931,0,3176,6789,1302,922,1084,4931,952,10584493,21150,135,1931
2721,0,1061,2437,671,4229,6369,4931,6031,25018983,26372,404,2721
1546,1,2992,2452,1771,1673,6388,2349,6031,20013573,28167,285,1546
6348,1,4758,3318,3681,5358,1041,2659,1302,25022359,24390,94,6348
7012,0,3177,5887,4172,3581,3919,1842,6031,35027161,25643,616,group_258
278,0,4847,3756,2756,5358,3464,4931,1017,25012782,29765,170,group_202
8320,1,2134,6859,484,4900,2445,4931,6031,30014262,25539,526,8320
5610,0,956,6014,797,5358,1011,3681,28,25013193,20067,229,group_260
6211,1,803,3939,4827,4643,941,3070,4947,60010783,26787,91,group_261
10090,0,945,3412,3164,5358,5476,4931,6031,10420822,29139,120,10090
5066,1,3610,6025,4030,2371,887,4931,6031,25009889,26491,530,5066
4543,0,1680,6463,1989,4936,348,1421,1394,30003740,24541,464,4543
10709,1,3975,2609,94,5358,5696,3787,3277,35017906,27157,442,10709
691,1,6234,447,1013,3394,2568,1429,2324,30017231,29791,146,group_266
4323,1,1877,7303,4547,5358,5905,4931,6031,20010631,25065,171,group_267
5676,1,1479,5606,1550,4819,359,1518,4819,25013657,23311,23,group_268
5294,0,5091,5978,4799,3033,6063,4931,4663,10061915,24053,369,group_269
8511,1,5816,5692,1850,3682,2949,4931,6031,10207122,25424,714,group_270
5224,0,1202,7397,485,2411,3850,2740,739,10219792,28006,181,group_271
7147,0,880,3635,1699,1293,276,4931,1544,10319632,21188,546,7147
6723,0,357,1465,4827,2876,385,4931,6031,25037148,26988,9,6723
10680,0,5456,1988,2950,3374,5711,4931,1138,25026477,26747,427,group_274
9087,1,5562,1266,3966,832,955,4931,4463,25006674,29210,421,9087
3551,1,1339,7318,943,5358,1666,2586,6031,35006141,23610,102,3551
1828,1,2245,4756,4827,5175,1970,1494,6031,25025592,21578,91,group_277
6561,0,5271,7432,4167,5358,4574,4931,4096,10053850,23249,361,6561
749,1,5205,4463,2706,4324,2858,25,5107,10085694,28854,620,group_279
10303,1,5669,6095,2672,5358,1804,4546,1139,10029091,26177,399,group_280
4311,0,1414,1118,373,2069,2065,680,5696,25023592,21746,104,group_213
455,0,2165,3088,3776,2268,1629,296,124,25001411,23750,654,group_281
5845,0,6227,3693,3665,1129,1763,4343,6031,10565686,23557,204,group_180
5449,0,3808,3737,1382,5358,3745,731,1533,25039177,26819,193,5449
308,1,137,2893,2478,5358,6388,2653,5763,50066001,27041,291,308
9863,1,2920,2744,579,1282,6388,1949,1659,10381625,20661,563,9863
4420,1,6337,4305,2492,5358,1529,4212,4561,50022163,25791,204,4420
10020,1,2196,1031,3005,2663,6156,571,446,35019614,21008,461,10020
777,0,2114,6266,3645,167,4079,2250,6031,25012250,20238,659,777
9777,1,107,1978,1290,3928,5101,4931,2301,35025270,22444,106,9777
1691,1,1766,4819,4827,413,3339,4931,6031,25005805,27170,561,1691
2807,0,4796,4631,2666,189,6388,4104,1425,10387302,20237,575,group_290
4208,0,3989,7473,4827,1629,3086,1216,6031,25035160,24236,423,4208
7596,1,6063,3228,4827,4665,5794,4931,6031,25024406,28772,119,group_292
3531,1,1594,7047,4781,4028,5561,3316,6031,25028782,22332,538,3531
3709,0,2207,5363,4827,1940,103,4375,6031,40005617,20446,245,group_294
10455,1,5610,1774,3024,1067,1434,4577,6031,90008515,26318,485,10455
5524,1,1569,6943,2686,745,1160,3219,5168,25011379,25785,672,5524
5801,0,1603,1679,4827,4067,143,4931,3683,90021186,26173,307,group_297
1053,0,1778,4795,4827,2824,5069,4306,6031,25002806,22965,630,1053
8117,1,5947,1399,4827,4891,6388,4931,6031,35004692,28662,2,8117
1743,1,2762,2280,2399,290,6388,2983,6031,10212535,23477,636,1743
3597,0,4063,6414,4666,5358,6354,1183,396,10264758,24675,573,3597
1956,1,6339,122,4502,129,3118,1545,4503,60023516,22550,301,group_302
7780,0,1408,5243,2061,4941,371,4931,4811,25013810,25489,621,group_303
4700,0,769,3826,4246,4128,3094,3984,6031,25036152,25878,35,4700
2551,1,3231,3272,4827,1969,4368,2697,5950,10057087,26602,297,group_305
8640,1,2961,5676,4827,2949,1333,1040,3566,25041447,24254,277,8640
767,1,2565,3175,3141,1942,6388,4843,3506,30019445,26831,466,group_307
895,0,5640,2875,4827,300,4043,4660,517,35000477,20755,677,895
5956,1,1577,4927,3787,5358,1499,4931,4748,35015234,29515,307,group_309
3844,1,1628,1826,1127,1718,887,4931,6031,25028720,26288,222,group_310
10258,1,3335,7473,4827,728,4227,3350,4737,40003289,25309,647,10258
9503,0,3892,4440,2808,3434,4057,2919,6031,10164950,27597,414,group_312
3933,0,5653,4537,4827,5358,4489,280,6031,90016950,28278,662,group_313
2862,0,2196,4433,4036,3570,1987,571,6031,35019614,26207,656,2862
3758,1,61,609,258,5358,1397,3434,5760,35014181,23183,639,group_315
7124,1,6440,2256,1398,5358,3578,763,6031,10480545,23075,343,7124
804,1,3870,427,1331,5358,5284,4931,5306,10383583,22081,128,group_317
1005,1,1865,2740,3370,5358,5010,4931,6031,25006574,21467,26,group_318
9171,0,832,5348,565,1734,1121,3956,2925,10571798,23703,433,9171
2354,1,1772,4970,4827,3002,3006,525,3565,20024129,28064,720,group_320
10120,1,3328,49,501,2428,1686,2978,3693,35030090,21540,580,10120
7201,0,3504,803,3413,3714,5904,3318,6031,30009408,28869,127,7201
9411,0,2141,1684,4827,2184,5691,4341,3326,35022249,22421,350,9411
223,0,5742,1738,4827,3817,6388,4931,6031,30010213,21771,127,group_324
4799,0,1398,2078,2414,4111,716,1534,6031,25034253,24825,476,group_325
3847,1,5089,5013,544,5358,3276,769,1821,25010485,28264,145,group_326
1656,1,3757,6447,551,620,6388,1887,2709,90002447,20385,595,group_327
9021,1,2366,7268,47,1933,5032,162,6031,50046618,21626,545,9021
5621,0,3997,7473,4827,1629,3086,1216,2299,25035160,20108,83,5621
3303,0,4111,6731,2130,1703,4428,4931,1571,30023237,23850,603,group_128
5351,1,5855,4444,4044,3289,3667,3756,2863,35000074,29386,15,5351
3367,1,1499,7086,1973,5358,595,424,1869,10390912,20048,61,group_331
1116,0,5623,6771,375,4419,6388,4931,6031,70029447,27563,285,1116
6487,1,4899,16,3601,271,4888,4744,4476,25025067,22098,449,6487
7123,1,4005,4320,493,5358,2523,1622,6031,10418700,26139,2,7123
8681,1,1375,5017,2198,5358,5474,4931,1015,90015974,25728,339,8681
4257,1,537,381,787,4132,5251,4787,2827,35023885,20510,81,4257
849,0,5970,407,2992,1041,4206,4038,957,10243583,25815,214,849
2981,0,5788,4615,4334,1749,133,4046,4516,25010621,22042,120,2981
5725,0,5179,1807,2496,4595,804,4931,1965,60036625,27320,545,group_339
210,1,1348,7473,4827,2369,6388,4931,6031,10249858,21024,419,210
3537,1,5371,1360,3126,5065,4508,4931,6031,90019676,28876,453,3537
9901,1,2279,6624,4347,425,6388,3507,3939,25022581,26311,685,9901
8618,1,1634,2538,1753,5358,2611,4511,3981,10333402,29750,160,group_343
1086,1,185,6715,525,5358,498,1420,5875,90020950,25353,363,group_344
3181,1,5873,7473,4827,2018,6388,4131,6031,35021409,25154,328,3181
6011,0,1265,2241,4665,3994,6081,4931,4115,50055211,29557,197,group_346
9727,0,756,2323,3983,1978,3613,1976,1166,35012791,25190,477,9727
4875,1,3936,4271,3852,3402,1671,2279,2082,35000679,29886,379,group_348
7053,1,6456,7473,4827,109,942,1346,1597,10382089,26775,524,group_349
714,0,4974,2811,4827,2710,201,2748,3768,10552817,28099,446,714
10353,0,5496,4394,3136,5358,4358,4931,6031,25008820,23646,171,group_351
283,1,1436,1515,2719,5358,2139,932,3230,90006915,25949,536,group_352
10890,1,710,1139,2974,3608,2297,4931,2307,20009196,27585,152,group_0
6774,1,756,3124,1951,1019,1532,1976,1334,35012791,28987,200,6774
10260,1,112,2502,4586,1415,4316,4919,3990,25021451,28570,251,group_354
9574,1,38,4194,2073,1524,4776,4931,4560,10517633,20380,687,9574
2927,1,2429,2844,4374,5358,5461,4931,6031,25018043,24326,375,group_356
4638,0,2741,7473,2215,2327,6388,2495,2320,80061618,25477,132,4638
1358,1,1874,5170,1679,378,4020,2148,6031,20001819,23292,463,group_358
8893,1,4112,5574,2523,576,802,3384,6031,70057819,20830,393,group_359
5653,1,3885,4959,2470,442,294,1251,6031,10178008,23021,579,5653
8258,0,2435,2843,380,5358,5541,4931,2807,25018043,26021,354,8258
10135,0,3674,3049,2051,4945,1303,1296,4039,35025832,29406,563,10135
